,EmpID,Position,DOB,Sex,Department,ManagerName
0,001,Production Technician I,7/10/1983,M ,Production,Corleone Michael
1,002,Sr. DBA,5/5/1975,M ,IT/IS,Dougall Eric
2,003,Production Technician II,9/19/1988,F,Production,Corleone Michael
3,004,Production Technician I,9/27/1988,F,Production,Corleone Michael
4,005,Production Technician I,9/8/1989,F,Production,Corleone Michael
5,006,Production Technician I,5/22/1977,F,Production,Corleone Michael
6,007,Software Engineer,5/24/1979,F,Software Engineering,Cady Max 
7,008,Production Technician I,2/18/1983,M ,Production,Corleone Michael
8,009,Production Technician I,2/11/1970,F,Production,Corleone Michael
9,010,IT Support,1/7/1988,M ,IT/IS,Dougall Eric
10,011,Production Technician I,1/12/1974,F,Production,Corleone Michael
11,012,Production Technician I,2/21/1974,M ,Production,Corleone Michael
12,013,Data Analyst,7/4/1988,M ,IT/IS,Dougall Eric
13,014,Production Technician I,7/20/1983,M ,Production,Corleone Michael
14,015,Production Technician I,7/15/1977,M ,Production,Corleone Michael
15,016,Production Technician I,10/18/1981,M ,Production,Corleone Michael
16,017,Production Technician II,4/17/1966,F,Production,Corleone Michael
17,018,Production Technician I,10/27/1970,F,Production,Corleone Michael
18,019,Database Administrator,4/4/1986,F,IT/IS,Dougall Eric
19,020,Production Technician I,4/6/1979,M ,Production,Corleone Michael
20,021,Production Technician I,12/22/1970,M ,Production,Corleone Michael
21,022,Production Technician I,12/27/1958,F,Production,Corleone Michael
22,023,Production Technician I,9/1/1989,F,Production,Corleone Michael
23,024,Production Technician II,9/21/1990,F,Production,Corleone Michael
24,025,Production Technician II,1/16/1967,F,Production,Corleone Michael
25,026,Enterprise Architect,7/30/1964,M ,IT/IS,Dougall Eric
26,027,Admin Offices Manager,4/4/1987,F,Admin Offices,Boutwell Bonalyn
27,028,Production Technician I,3/10/1970,M ,Production,Corleone Michael
28,029,Production Technician I,8/24/1990,F,Production,Corleone Michael
29,030,Accountant I,11/24/1987,F,Admin Offices,Boutwell Bonalyn
30,031,Production Technician II,7/28/1983,M ,Production,Corleone Michael
31,032,Production Technician I,10/30/1969,F,Production,Corleone Michael
32,033,Sr. Accountant,6/1/1964,F,Admin Offices,Boutwell Bonalyn
33,034,Production Technician II,3/2/1980,F,Production,Corleone Michael
34,035,Production Technician II,8/19/1977,M ,Production,Corleone Michael
35,036,Software Engineering Manager,11/22/1966,M ,Software Engineering,Cady Max 
36,037,Production Technician I,8/9/1983,M ,Production,Corleone Michael
37,038,Software Engineer,4/5/1987,F,Software Engineering,Cady Max 
38,039,Production Technician I,2/2/1983,M ,Production,Corleone Michael
39,040,Sr. DBA,6/6/1986,F,IT/IS,Dougall Eric
40,041,Sr. Accountant,5/15/1963,F,Admin Offices,Boutwell Bonalyn
41,042,Production Technician I,1/2/1951,F,Production,Corleone Michael
42,043,BI Director,2/9/1972,M ,IT/IS,Dougall Eric
43,044,Production Technician I,2/12/1979,F,Production,Corleone Michael
44,045,Production Technician I,8/24/1983,M ,Production,Corleone Michael
45,046,Sr. Accountant,6/11/1970,M ,Admin Offices,Boutwell Bonalyn
46,047,Production Technician I,8/27/1983,F,Production,Corleone Michael
47,048,Production Technician I,5/31/1988,F,Production,Corleone Michael
48,049,IT Support,9/5/1985,M ,IT/IS,Dougall Eric
49,050,Production Technician II,8/31/1981,F,Production,Corleone Michael
50,051,Production Technician II,11/25/1978,M ,Production,Corleone Michael
51,052,Production Technician I,8/26/1980,M ,Production,Corleone Michael
52,053,Production Technician I,9/8/1977,M ,Production,Corleone Michael
53,054,Production Technician I,8/12/1979,M ,Production,Corleone Michael
54,055,Production Manager,12/17/1975,M ,Production,Corleone Michael
55,056,Director of Operations,3/19/1983,M ,Production,Corleone Michael
56,057,Production Technician I,3/31/1977,F,Production,Corleone Michael
